"iso3","country_name","disaggregation","category","subject","grade_band","is_africa","income_level","income_level_code","Region_Code","Region","n_unweighted","pct_weighted","n_weighted","pct_unweighted","pct_weighted_loess_span1"
"AZE","Azerbaijan","Area","Rural","numeracy","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",412,72.5674513085671,412,73.0582524271845,72.5674513085671
"AZE","Azerbaijan","Area","Rural","reading","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",489,42.1794623450887,489,43.7627811860941,42.1794623450887
"AZE","Azerbaijan","Area","Rural","reading","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",582,65.0092100865636,582,65.6357388316151,65.0092100865636
"AZE","Azerbaijan","Area","Rural","reading","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",412,63.9175026215291,412,67.2330097087379,63.9175026215291
"AZE","Azerbaijan","Wealth","Second","numeracy","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",214,53.3117427230085,214,52.3364485981308,53.3117427230085
"AZE","Azerbaijan","Wealth","Second","numeracy","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",288,65.8179880876037,288,67.3611111111111,65.8179880876037
"AZE","Azerbaijan","Wealth","Second","numeracy","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",191,77.6872719534533,191,76.9633507853403,77.6872719534533
"AZE","Azerbaijan","Wealth","Second","reading","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",214,43.4558613421706,214,50,43.4558613421706
"AZE","Azerbaijan","Wealth","Second","reading","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",288,66.4813269508367,288,65.9722222222222,66.4813269508367
"AZE","Azerbaijan","Wealth","Second","reading","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",191,65.8253342199569,191,67.5392670157068,65.8253342199569
"AZE","Azerbaijan","Area","Urban","numeracy","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",370,67.556663909227,370,63.7837837837838,67.556663909227
"AZE","Azerbaijan","Area","Urban","numeracy","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",463,83.4404063065702,463,78.6177105831533,83.4404063065702
"AZE","Azerbaijan","Area","Urban","numeracy","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",375,85.5569907117787,375,82.1333333333333,85.5569907117787
"AZE","Azerbaijan","Area","Urban","reading","Early Primary (1-3)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",370,65.7433022378782,370,62.972972972973,65.7433022378782
"AZE","Azerbaijan","Area","Urban","reading","End of Primary (4-6)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",463,76.2751623384044,463,72.1382289416847,76.2751623384044
"AZE","Azerbaijan","Area","Urban","reading","Lower Secondary (7-9)",FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",375,78.4910281173312,375,77.0666666666667,78.4910281173312
"BEN","Benin","All","All","numeracy","Early Primary (1-3)",TRUE,"Lower middle income","LMC","UNICEF_AFRICA","Africa",2117,2.19115406702421,2117,2.1728861596599,2.19115406702421
"BEN","Benin","All","All","numeracy","End of Primary (4-6)",TRUE,"Lower middle income","LMC","UNICEF_AFRICA","Africa",2078,22.1246616648369,2078,23.339749759384,22.1246616648369
"BEN","Benin","All","All","numeracy","Lower Secondary (7-9)",TRUE,"Lower middle income","LMC","UNICEF_AFRICA","Africa",936,56.9874345844913,936,58.7606837606838,56.9874345844913
"BEN","Benin","All","All","reading","Early Primary (1-3)",TRUE,"Lower middle income","LMC","UNICEF_AFRICA","Africa",2117,1.52886633728857,2117,1.84222957014643,1.52886633728857
"BEN","Benin","All","All","reading","End of Primary (4-6)",TRUE,"Lower middle income","LMC","UNICEF_AFRICA","Africa",2078,18.2087748351239,2078,20.1154956689124,18.2087748351239
"BEN","Benin","All","All","reading","Lower Secondary (7-9)",TRUE,"Lower middle income","LMC","UNICEF_AFRICA","Africa",936,49.287272119261,936,50.4273504273504,49.287272119261
"BEN","Benin","Wealth","Fourth","numeracy","Early Primary (1-3)",TRUE,"Lower middle income","LMC","UNICEF_AFRICA","Africa",408,2.16286727143213,408,1.47058823529412,2.16286727143213
"BEN","Benin","Wealth","Fourth","numeracy","End of Primary (4-6)",TRUE,"Lower middle income","LMC","UNICEF_AFRICA","Africa",511,20.4714385903568,511,22.5048923679061,20.4714385903568
"BEN","Benin","Wealth","Fourth","numeracy","Lower Secondary (7-9)",TRUE,"Lower middle income","LMC","UNICEF_AFRICA","Africa",260,55.4903846019182,260,59.2307692307692,55.4903846019182
"BEN","Benin","Wealth","Fourth","reading","Early Primary (1-3)",TRUE,"Lower middle income","LMC","UNICEF_AFRICA","Africa",408,1.88824873180905,408,1.47058823529412,1.88824873180905
"BEN","Benin","Wealth","Fourth","reading","End of Primary (4-6)",TRUE,"Lower middle income","LMC","UNICEF_AFRICA","Africa",511,16.5756023282245,511,20.3522504892368,16.5756023282245
"BEN","Benin","Wealth","Fourth","reading","Lower Secondary (7-9)",TRUE,"Lower middle income","LMC","UNICEF_AFRICA","Africa",260,42.5433587944582,260,45.3846153846154,42.5433587944582
"BEN","Benin","Wealth","Middle","numeracy","Early Primary (1-3)",TRUE,"Lower middle income","LMC","UNICEF_AFRICA","Africa",455,2.43675029260505,455,2.41758241758242,2.43675029260505
