"iso3","country_name","disaggregation","category","subject","grade","is_africa","income_level","income_level_code","Region_Code","Region","n_unweighted","pct_weighted","n_weighted","pct_unweighted","pct_weighted_loess_span1"
"AFG","Afghanistan","Wealth","Second","numeracy",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",101,34.3369187227343,101,33.6633663366337,28.9945304143861
"AFG","Afghanistan","Wealth","Second","numeracy",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",79,32.0878886810379,79,32.9113924050633,37.6597730647554
"AFG","Afghanistan","Wealth","Second","numeracy",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",57,48.4617684490264,57,54.3859649122807,48.3362646667318
"AFG","Afghanistan","Wealth","Second","numeracy",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",5,62.0325551879843,5,40,61.1706710317399
"AFG","Afghanistan","Wealth","Second","reading",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",229,1.73175569162139,229,2.18340611353712,1.15747085370165
"AFG","Afghanistan","Wealth","Second","reading",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",223,4.29788198674101,223,4.93273542600897,4.78955329105561
"AFG","Afghanistan","Wealth","Second","reading",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",151,7.89825977715871,151,9.93377483443709,9.33020022943427
"AFG","Afghanistan","Wealth","Second","reading",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",116,14.590206920301,116,16.3793103448276,14.6584083329858
"AFG","Afghanistan","Wealth","Second","reading",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",101,24.9301836268367,101,24.7524752475248,20.7150450465602
"AFG","Afghanistan","Wealth","Second","reading",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",79,20.3279974927147,79,26.5822784810127,27.7107001070927
"AFG","Afghanistan","Wealth","Second","reading",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",57,40.7099590580102,57,43.859649122807,34.2458500276964
"AFG","Afghanistan","Wealth","Second","reading",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",5,38.824983708792,5,40,40.8841305615525
"AFG","Afghanistan","Area","Urban","numeracy",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",165,3.47816084800534,165,4.84848484848485,4.75650421499627
"AFG","Afghanistan","Area","Urban","numeracy",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",190,18.8424166190313,189,22.7513227513228,17.0184740038907
"AFG","Afghanistan","Area","Urban","numeracy",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",165,28.6220275805996,164,28.6585365853659,28.3774388355177
